Dimensions,7
Normalised,20
evals,500
key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
20:11:15:2:1:5:20,17093.96,20,11,15,2,1,5,20,126.81,19.00,72.97,6.00,3.00,18.00,14229361.00,S1C26SC27SC49SC44SC9SC10SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C69ED16C71ED16C28ED13C4WD21C68ED21C32EC33ED24C73ED11C30ED9C72WD8C67BD8C74ED3C42EC43EC46EC45ED7C64BD7C38EC39ED4C70EC65EC66ED2C5BD1C31BC47BD18C3ED34C40ED35C2WC11WC7WC8WD19C1EC18ED19C37EC41ED19C25BC19BC21BC22BC23BC24BC12BC17BC16BC15BC13BC14BC6BD32C20BD32C48EC29ED26C34EC35ED27C36E
17:2:7:1:1:2:5,5890.17,17,2,7,1,1,2,5,97.19,4.00,36.49,2.00,0.00001,6.00,5025804.00,S1C47SC30SC48SC29SC28SC49SC27SC26SC34SC35SC36SC37SC38SC39SC41SC42SC43SC46SC45SC44SC40SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD17C69ED17C71ED10C68ED10C31ED8C64EC74EC70EC73EC65EC66EC72ED8C18BC3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC32BC33BD4C67BD4C1E
8:10:20:2:1:2:20,8994.20,8,10,20,2,1,2,20,45.86,17.00,100.00,8.00,4.00,8.00,14143627.00,S1D16C4BD13C28BC49BC27BC26BC56BC55BC54BC53BC52BC50BC51BC62BC63BC60BC59BC57BC61BD21C25BC19BC21BD21C2WD22C30EC48EC29ED23C71BD23C73ED24C72BC67BD24C37EC41EC42EC43EC46EC45EC44EC40EC12EC17ED9C20BD14C38EC39ED1C31WC47WC32WC33WD34C5BD33C68ED19C34EC35EC36ED31C22BC24BC6BC11BC7BC8BC9BC10BC16BC15BC13BC14BC58BD6C69ED5C1WC18WC3WD4C64EC74EC70EC65EC66ED27C23W
4:6:20:1:2:1:20,3513.83,4,6,20,1,2,1,20,23.42,10.00,100.00,3.00,6.00,2.00,13381308.00,S1D15C36WC37WC38WC39WC40WC41WC42WC43WC45WD34C68EC69EC1EC18EC3EC4ED20C5WC23WC24WC17WC16WD11C31WC47WC32WC33WC34WC35WD10C64BC71BC72BC67BD9C30WC48WC29WC28WC49WC27WC26WD7C56WC55WC54WC53WC52WD5C25WC19WC20WC2WC21WC22WC15WD28C74EC70EC73EC65EC66ED28C44BC59BC60BC62BC63BC51BC50BC61BD18C12BC13BC14BC6BC11BC7BC8BC9BC10BC46BC57BC58B
15:2:12:1:1:1:19,2685.33,15,2,12,1,1,1,19,88.85,4.00,58.11,1.00,1.00,2.00,11690925.00,S1C38SC39SC41SC42SC43SC46SC45SC44SC40SC12SC14SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD20C24WC17WC16WC15WC13WD25C73EC65EC66EC69EC71ED8C64BC74BC70BD14C68EC67EC72EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37E
15:2:12:1:1:1:17,2749.52,15,2,12,1,1,1,17,86.47,4.00,60.81,1.00,1.00,2.00,10532844.00,S1C30SC48SC29SC28SC49SC27SC26SC6SC7SC9SC10SC11SC8SC46SC44SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD17C71EC72EC73EC65EC66EC74EC70EC64EC1EC18EC3EC4EC25EC20EC19EC2EC21ED21C5BC23BC24BC22BC12BC17BC16BC15BC13BC14BC40BC39BC38BC36BC37BC41BC42BC43BC45BD15C68EC67EC69ED19C31WC47WC32WC33WC34WC35W
20:7:8:1:1:3:20,9340.95,20,7,8,1,1,3,20,123.94,13.00,40.54,1.00,3.00,10.00,12952463.00,S1C30SC48SC29SC28SC49SC27SC26SC41SC42SC43SC46SC45SC44SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC23SC19SC2SC22SC24SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C71EC72ED17C70WD17C69ED13C1EC25EC21ED12C65EC66ED3C31ED7C5WD5C47EC32ED4C18BC3BC4BC20BD2C64EC74ED33C67ED30C68ED35C73ED31C33WC34WC35WC36WC37WC38WC39WC40W
20:4:9:2:1:1:19,2634.02,20,4,9,2,1,1,19,125.32,7.00,45.95,7.00,1.00,1.00,11641256.00,S1C30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC25SC20SC19SC2SC21SC22SC23SC4SC24SC44SC51SC50SC52SC53SC54SC55SC56SC61SC62SC63SD17C71BD12C73BD19C68EC67EC69ED19C66BC70BD30C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD31C65BC72BD2C1WC18WC3WD4C64BD4C74B
7:13:20:2:1:3:18,12448.05,7,13,20,2,1,3,18,42.65,22.00,100.00,9.00,5.00,12.00,11168770.00,S1D16C69ED16C47BD17C67BD13C1WD12C31ED21C4WC20WD21C19WD21C30ED15C33ED33C68ED30C48EC29EC28EC49EC27EC26EC38EC39EC41EC42EC43EC46EC45EC44EC40EC37EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC21EC22ED31C51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63EC23EC24ED32C35EC36ED18C5BD1C18BC3BD14C64ED9C25BD10C71ED10C66WD25C74EC70ED23C32ED6C34BD5C65BD7C2BD4C72WD27C73B
5:6:20:2:1:1:3,4020.41,5,6,20,2,1,1,3,30.39,10.00,100.00,6.00,1.00,3.00,4542347.00,S1D16C4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC12BC17BC16BC15BD17C71WC72WD8C74ED3C1EC6EC7EC9EC10EC11EC8EC13EC14EC41EC42EC43EC46EC45EC44EC40EC30EC48EC29EC28EC49EC27EC26EC51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63ED6C65BC18BC3BD5C64BD4C73BD28C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BD19C66BC70BD32C68EC67EC69E
