Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
17:13:4:10,2391.49,17,13,4,10,100.93,23.58,3.00,42.45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,
17:13:4:12,2400.75,17,13,4,12,102.04,23.84,3.00,43.63,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,3,
17:13:4:11,2394.42,17,13,4,11,101.81,23.79,3.00,42.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
17:13:4:14,2406.53,17,13,4,14,102.16,23.87,3.00,44.44,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,3,2,
15:10:11:9,2667.82,15,10,11,9,90.67,21.18,6.00,42.23,0,1,0,1,0,2,0,0,0,1,0,0,0,0,3,0,2,
17:15:11:2,1261.56,17,15,11,2,106.72,24.94,6.00,39.06,1,2,0,1,0,1,0,1,1,0,0,0,0,0,4,3,0,
17:15:11:4,1314.97,17,15,11,4,106.72,24.94,6.00,39.75,0,3,0,0,0,1,1,1,0,1,1,0,1,0,5,3,1,
17:15:11:7,1881.36,17,15,11,7,105.31,24.61,6.00,41.24,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,2,
20:20:4:7,993.71,20,20,4,7,121.28,28.34,3.00,40.96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,
20:20:4:6,994.38,20,20,4,6,122.26,28.56,3.00,40.79,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,
20:20:4:9,1002.54,20,20,4,9,123.21,28.79,3.00,42.13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,
20:20:4:8,998.70,20,20,4,8,122.96,28.73,3.00,41.44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,
20:20:4:1,978.93,20,20,4,1,120.58,28.17,3.00,38.22,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,
20:20:4:3,984.56,20,20,4,3,120.54,28.16,3.00,39.36,0,0,0,0,1,0,0,3,1,0,0,0,1,0,1,3,2,
20:20:4:2,982.71,20,20,4,2,121.36,28.35,3.00,38.74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
20:20:4:5,991.45,20,20,4,5,122.44,28.61,3.00,40.15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,
