emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time
11,2,12,1,1,1,5
11,2,12,1,1,1,4
19,5,11,1,1,2,9
19,5,11,1,1,2,6
16,5,16,1,1,2,10
19,5,11,1,1,2,7
19,5,11,1,1,2,8
16,6,16,1,2,1,7
16,6,16,1,2,1,8
17,14,15,4,2,5,7
17,14,15,4,2,5,6
15,2,13,2,1,1,4
17,6,13,1,1,1,6
17,13,18,3,3,4,6
20,13,13,4,1,5,11
11,2,12,1,1,1,1
17,6,13,1,1,1,7
19,3,4,2,1,1,7
19,3,4,2,1,1,6
16,15,17,3,2,6,6
13,4,14,1,1,1,1
15,6,18,2,1,2,7
13,4,14,1,1,1,3
13,4,14,1,1,1,2
20,9,8,2,1,3,10
13,5,15,1,1,3,6
12,4,17,1,2,1,6
14,3,16,1,1,1,1
16,4,12,1,1,1,10
6,3,19,1,1,2,1
6,3,19,1,1,2,2
18,3,5,1,1,2,7
15,3,12,1,1,2,4
14,3,16,1,1,1,4
14,3,16,1,1,1,5
15,3,12,1,1,2,5
14,3,16,1,1,1,2
18,3,5,1,1,2,5
15,3,12,1,1,2,3
14,3,16,1,1,1,3
18,3,5,1,1,2,6
14,3,16,1,1,1,8
14,3,16,1,1,1,6
15,4,13,1,1,4,6
14,3,16,1,1,1,7
20,7,8,1,1,3,10
13,5,12,1,2,1,5
13,4,14,1,1,1,5
13,4,14,1,1,1,4
13,4,14,1,1,1,7
13,4,14,1,1,1,6
16,5,9,3,1,1,4
16,5,9,3,1,1,5
18,5,10,1,1,1,11
12,1,14,1,1,1,3
14,4,14,1,2,1,7
18,5,10,1,1,1,10
12,1,14,1,1,1,4
15,6,9,2,1,1,3
19,4,7,1,2,1,9
19,4,7,1,2,1,6
15,3,12,1,1,2,6
17,4,15,2,1,1,7
19,4,7,1,2,1,8
19,4,7,1,2,1,7
15,3,12,1,1,2,7
13,6,14,1,1,2,5
15,4,11,1,1,1,4
15,4,11,1,1,1,3
15,4,11,1,1,1,2
16,10,16,2,2,3,5
15,4,11,1,1,1,8
15,4,11,1,1,1,7
15,4,11,1,1,1,6
15,4,11,1,1,1,5
15,4,11,1,1,1,9
13,4,17,1,1,1,11
13,6,14,1,1,2,3
10,7,20,3,1,1,4
17,4,15,2,1,1,5
17,4,15,2,1,1,4
10,7,20,3,1,1,3
10,7,20,3,1,1,5
10,7,20,3,1,1,2
10,7,20,3,1,1,1
20,6,9,1,2,1,5
20,6,9,1,2,1,6
20,6,9,1,2,1,9
12,3,19,1,1,1,5
12,3,19,1,1,1,2
12,3,19,1,1,1,3
12,3,19,1,1,1,4
18,5,15,1,1,1,4
20,13,8,4,1,2,10
18,5,15,1,1,1,5
18,5,15,1,1,1,7
18,5,15,1,1,1,8
11,5,18,2,1,1,1
17,17,18,4,3,5,6
11,5,18,2,1,1,5
11,5,18,2,1,1,4
11,5,18,2,1,1,3
11,5,18,2,1,1,2
12,5,19,1,1,2,7
12,5,19,1,1,2,6
12,5,19,1,1,2,4
12,5,19,1,1,2,3
12,5,19,1,1,2,2
12,5,19,1,1,2,1
15,6,16,1,1,1,7
19,14,14,3,2,5,7
15,6,16,1,1,1,6
15,6,16,1,1,1,3
15,6,16,1,1,1,2
15,6,16,1,1,1,5
15,6,16,1,1,1,4
18,5,10,2,1,1,4
18,5,10,2,1,1,5
18,5,10,2,1,1,6
18,5,10,2,1,1,7
18,5,10,2,1,1,8
15,9,14,1,2,2,5
19,5,9,1,1,2,7
19,5,9,1,1,2,6
19,5,9,1,1,2,9
19,5,9,1,1,2,8
15,8,15,1,2,3,4
19,5,9,1,1,2,5
13,5,15,2,1,1,2
13,5,15,2,1,1,1
19,6,7,1,2,2,6
19,6,7,1,2,2,7
17,4,10,3,1,1,4
17,3,10,1,1,1,12
17,3,10,1,1,1,10
16,14,20,5,3,4,4
12,6,18,1,1,1,5
17,4,9,1,1,1,12
17,4,9,1,1,1,11
12,6,18,1,1,1,6
12,6,18,1,1,1,7
17,4,9,1,1,1,10
18,6,13,1,2,1,7
12,6,18,1,1,1,1
18,6,13,1,2,1,6
12,6,18,1,1,1,2
20,7,4,1,1,4,10
12,6,18,1,1,1,3
12,6,18,1,1,1,4
15,4,9,1,1,2,5
15,4,9,1,1,2,6
18,13,18,4,2,4,6
18,13,18,4,2,4,5
19,4,3,1,1,2,6
19,4,3,1,1,2,8
19,4,3,1,1,2,7
11,3,13,2,1,1,2
19,2,3,1,1,1,8
16,4,11,1,2,1,8
16,4,11,1,2,1,7
16,4,11,1,2,1,6
16,4,11,1,2,1,5
16,4,11,1,2,1,4
19,2,3,1,1,1,5
16,4,11,1,2,1,3
19,2,3,1,1,1,6
18,5,10,1,1,3,8
19,2,3,1,1,1,7
20,4,4,1,1,2,11
20,4,4,1,1,2,10
19,3,5,1,1,1,11
19,3,5,1,1,1,10
11,5,15,1,2,1,2
20,5,4,1,2,1,10
17,6,9,1,2,1,7
19,6,5,1,1,3,10
20,5,6,1,1,2,9
20,5,6,1,1,2,7
20,3,6,1,1,1,5
20,5,6,1,1,2,8
17,4,6,1,1,2,10
20,3,6,1,1,1,6
17,5,10,1,3,1,7
20,3,6,1,1,1,7
20,3,6,1,1,1,8
20,3,6,1,1,1,9
17,5,6,2,1,1,6
17,5,6,2,1,1,5
9,5,20,2,1,1,1
17,5,6,2,1,1,4
9,5,20,2,1,1,2
9,5,20,2,1,1,3
9,5,20,2,1,1,4
9,5,20,2,1,1,5
20,5,6,1,1,2,6
9,5,20,2,1,1,6
10,4,16,1,1,1,3
10,4,16,1,1,1,4
14,3,11,2,1,1,1
10,4,16,1,1,1,5
10,4,16,1,1,1,6
15,5,12,1,1,3,4
14,3,11,2,1,1,4
14,3,11,2,1,1,5
10,4,16,1,1,1,1
15,5,12,1,1,3,6
14,3,11,2,1,1,2
10,4,16,1,1,1,2
14,3,11,2,1,1,3
15,5,12,1,1,3,5
12,4,13,1,1,2,2
12,4,13,1,1,2,1
7,4,19,1,1,1,1
19,6,8,1,1,1,8
19,6,8,1,1,1,7
19,3,9,1,1,1,4
19,6,8,1,1,1,6
15,5,8,1,1,1,4
20,6,13,2,1,1,6
15,5,8,1,1,1,5
15,5,8,1,1,1,6
19,5,8,2,2,1,7
19,5,8,2,2,1,8
20,13,15,4,3,4,9
17,3,14,1,1,1,5
16,6,14,3,1,1,1
20,5,12,1,1,1,7
17,3,14,1,1,1,6
20,5,12,1,1,1,8
17,3,14,1,1,1,4
18,4,10,1,2,1,10
8,4,20,2,1,2,1
19,6,12,3,1,1,6
20,4,7,1,1,1,11
15,2,9,1,1,1,4
15,2,9,1,1,1,5
15,2,9,1,1,1,2
15,2,9,1,1,1,3
16,3,7,1,1,1,10
15,2,9,1,1,1,9
15,2,9,1,1,1,6
15,2,9,1,1,1,7
20,5,6,2,1,1,6
20,5,6,2,1,1,7
20,4,7,1,1,1,10
20,5,6,2,1,1,8
20,5,6,2,1,1,9
20,11,7,4,1,2,9
15,2,9,1,1,1,1
9,5,20,1,1,2,2
20,6,5,1,1,2,9
